id,name,year,region_code,region_name,url,domain_id,class_id,order_id,primary_role_id,domain,class,order,primary_role,sector,feature_indices,features
17,FANUC M-20iD/25,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-20id-25,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
18,FANUC M-20iD/35,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-20id-35,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
19,FANUC R-1000iA/80F,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/spot-welding-robots/r-1000ia-80f,0,2,1,0,Physical,Legged,Quadruped,Assembly,Industrial,"[4, 5]","['Legged', 'Quadruped']"
20,FANUC R-2000iC/165F,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/spot-welding-robots/r-2000ic-165f,0,2,1,0,Physical,Legged,Quadruped,Assembly,Industrial,"[4, 5]","['Legged', 'Quadruped']"
21,FANUC Paint Mate 200iA,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/paint-robots/paint-mate-200ia,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
22,FANUC P-250iB/15,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/paint-robots/p-250ib-15,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
23,FANUC F-200iB/25,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/foundry-robots/f-200ib-25,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
24,FANUC F-200iB/35,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/foundry-robots/f-200ib-35,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
25,FANUC M-410iB/140H,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/palletizing-robots/m-410ib-140h,0,0,0,3,Physical,Manipulator,Fixed-Base,Transport/Delivery,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
26,FANUC M-410iB/300,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/palletizing-robots/m-410ib-300,0,0,0,3,Physical,Manipulator,Fixed-Base,Transport/Delivery,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
27,FANUC M-710iC/50,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-710ic-50,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
28,FANUC M-710iC/70,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-710ic-70,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
29,FANUC M-900iB/400L,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-900ib-400l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
30,FANUC M-900iB/700,2005.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/m-900ib-700,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
31,FANUC M-2000iA/1200,2007.0,JP,Japan,https://www.fanucamerica.com/products/robots/heavy-payload-robots/m-2000ia-1200,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
32,FANUC M-2000iA/2300,2007.0,JP,Japan,https://www.fanucamerica.com/products/robots/heavy-payload-robots/m-2000ia-2300,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
33,FANUC CR-4iA,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/cr-4ia,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
34,FANUC CR-7iA,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/cr-7ia,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
35,FANUC CR-14iA/L,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/cr-14ia-l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
36,FANUC CR-35iA,2015.0,JP,Japan,https://www.fanucamerica.com/products/robots/collaborative-robots/cr-35ia,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
37,FANUC LR-10iA/10,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/lr-10ia-10,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
38,FANUC LR-10iA/10L,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/material-handling-robots/lr-10ia-10l,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
39,FANUC SR-3iA,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/scara-robots/sr-3ia,0,1,0,0,Physical,Mobile Ground,Wheeled,Assembly,Industrial,"[6, 7]","['Mobile Ground', 'Wheeled']"
40,FANUC SR-6iA,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/scara-robots/sr-6ia,0,1,0,0,Physical,Mobile Ground,Wheeled,Assembly,Industrial,"[6, 7]","['Mobile Ground', 'Wheeled']"
41,FANUC SR-12iA,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/scara-robots/sr-12ia,0,1,0,0,Physical,Mobile Ground,Wheeled,Assembly,Industrial,"[6, 7]","['Mobile Ground', 'Wheeled']"
42,FANUC SR-20iA,2000.0,JP,Japan,https://www.fanucamerica.com/products/robots/scara-robots/sr-20ia,0,1,0,0,Physical,Mobile Ground,Wheeled,Assembly,Industrial,"[6, 7]","['Mobile Ground', 'Wheeled']"
43,ABB IRB 120,2009.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-120,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
44,ABB IRB 140,1995.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-140,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
45,ABB IRB 1410,2000.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-1410,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
46,ABB IRB 1600,2005.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-1600,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
47,ABB IRB 2600,2005.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-2600,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
48,ABB IRB 4600,2005.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-4600,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
49,ABB IRB 6700,2013.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-6700,0,2,1,0,Physical,Legged,Quadruped,Assembly,Industrial,"[4, 5]","['Legged', 'Quadruped']"
50,ABB IRB 7600,2001.0,SE,Sweden,https://new.abb.com/products/robotics/robots/industrial-robots/irb-7600,0,0,0,16,Physical,Manipulator,Fixed-Base,Research,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
51,ABB YuMi,2015.0,SE,Sweden,https://new.abb.com/products/robotics/robots/collaborative-robots/yumi,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
52,ABB GoFa,2021.0,SE,Sweden,https://new.abb.com/products/robotics/robots/collaborative-robots/gofa,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
53,ABB SWIFTI,2021.0,SE,Sweden,https://new.abb.com/products/robotics/robots/collaborative-robots/swifti,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
54,KUKA KR 3 D1200,2012.0,DE,Germany,https://my.kuka.com/s/product/kr-3-d1200/0ZG1i000000XZs0GAG,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
55,KUKA KR 3 D1200 HM,2012.0,DE,Germany,https://my.kuka.com/s/product/kr-3-d1200-hm/0ZG1i000000XZs1GAG,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
56,KUKA LBR iisy 3 R760,2018.0,DE,Germany,https://my.kuka.com/s/product/lbr-iisy-3-r760/0ZG1i000000XZs2GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
57,KUKA LBR iisy 6 R1300,2018.0,DE,Germany,https://my.kuka.com/s/product/lbr-iisy-6-r1300/0ZG1i000000XZs3GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
58,KUKA LBR iisy 8 R930,2018.0,DE,Germany,https://my.kuka.com/s/product/lbr-iisy-8-r930/0ZG1i000000XZs4GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
59,KUKA LBR iisy 11 R1300,2018.0,DE,Germany,https://my.kuka.com/s/product/lbr-iisy-11-r1300/0ZG1i000000XZs5GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
60,KUKA LBR iisy 15 R930,2018.0,DE,Germany,https://my.kuka.com/s/product/lbr-iisy-15-r930/0ZG1i000000XZs6GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
61,KUKA LBR iiwa 7 R800,2013.0,DE,Germany,https://my.kuka.com/s/product/lbr-iiwa-7-r800/0ZG1i000000XZs7GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
62,KUKA LBR iiwa 14 R820,2013.0,DE,Germany,https://my.kuka.com/s/product/lbr-iiwa-14-r820/0ZG1i000000XZs8GAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
63,KUKA KR 6 R700 Z200-2,2010.0,DE,Germany,https://my.kuka.com/s/product/kr-6-r700-z200-2/0ZG1i000000XZs9GAG,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
64,KUKA KR 6 R700 Z170 HO,2010.0,DE,Germany,https://my.kuka.com/s/product/kr-6-r700-z170-ho/0ZG1i000000XZsAGAG,0,7,2,0,Physical,Soft-bodied,SMA/Smart-Material Soft,Assembly,Industrial,"[2, 3]","['Soft-bodied', 'SMA/Smart-Material Soft']"
65,KUKA KR 12 R650 Z340 CR,2010.0,DE,Germany,https://my.kuka.com/s/product/kr-12-r650-z340-cr/0ZG1i000000XZsBGAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
66,KUKA KR 12 R650 Z400,2010.0,DE,Germany,https://my.kuka.com/s/product/kr-12-r650-z400/0ZG1i000000XZsCGAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
67,KUKA KR 12 R750 Z340 CR,2010.0,DE,Germany,https://my.kuka.com/s/product/kr-12-r750-z340-cr/0ZG1i000000XZsDGAG,0,0,0,0,Physical,Manipulator,Fixed-Base,Assembly,Industrial,"[0, 1]","['Manipulator', 'Fixed-Base']"
68,Boston Dynamics BigDog,2005.0,US,United States,https://www.bostondynamics.com/bigdog,0,2,1,15,Physical,Legged,Quadruped,Military/Tactical,Military,"[4, 5]","['Legged', 'Quadruped']"
69,Boston Dynamics LS3,2012.0,US,United States,https://www.bostondynamics.com/ls3,0,2,1,15,Physical,Legged,Quadruped,Military/Tactical,Military,"[4, 5]","['Legged', 'Quadruped']"
70,iRobot PackBot,2001.0,US,United States,https://www.irobot.com/about-irobot/history,0,1,0,6,Physical,Mobile Ground,Wheeled,Rescue,Military,"[6, 7]","['Mobile Ground', 'Wheeled']"
71,Foster-Miller TALON,2000.0,US,United States,https://en.wikipedia.org/wiki/Foster-Miller_TALON,0,1,1,6,Physical,Mobile Ground,Tracked,Rescue,Military,"[6, 8]","['Mobile Ground', 'Tracked']"
72,Guardium,2009.0,IL,Israel,https://en.wikipedia.org/wiki/Guardium,0,1,0,15,Physical,Mobile Ground,Wheeled,Military/Tactical,Military,"[6, 7]","['Mobile Ground', 'Wheeled']"
73,MAARS (Modular Advanced Armed Robotic System),2008.0,US,United States,https://en.wikipedia.org/wiki/MAARS,0,6,0,15,Physical,Modular/Reconfigurable,Chain-type,Military/Tactical,Military,"[9, 10]","['Modular/Reconfigurable', 'Chain-type']"
74,Dragon Runner,2007.0,UK,United Kingdom,https://en.wikipedia.org/wiki/Dragon_Runner,0,1,1,15,Physical,Mobile Ground,Tracked,Military/Tactical,Military,"[6, 8]","['Mobile Ground', 'Tracked']"
75,Safran Patroller,2014.0,FR,France,https://en.wikipedia.org/wiki/Safran_Patroller,0,3,0,15,Physical,Aerial,Multirotor,Military/Tactical,Military,"[11, 12]","['Aerial', 'Multirotor']"
76,MQ-9 Reaper,2007.0,US,United States,https://en.wikipedia.org/wiki/General_Atomics_MQ-9_Reaper,0,3,1,15,Physical,Aerial,Fixed-Wing,Military/Tactical,Military,"[11, 13]","['Aerial', 'Fixed-Wing']"
77,RQ-4 Global Hawk,1998.0,US,United States,https://en.wikipedia.org/wiki/RQ-4_Global_Hawk,0,3,1,15,Physical,Aerial,Fixed-Wing,Military/Tactical,Military,"[11, 13]","['Aerial', 'Fixed-Wing']"
78,iRobot Roomba,2002.0,US,United States,https://www.irobot.com/roomba,0,1,0,7,Physical,Mobile Ground,Wheeled,Maintenance/Service,Service,"[6, 7]","['Mobile Ground', 'Wheeled']"
79,SoftBank Robotics Pepper,2014.0,JP,Japan,https://www.softbankrobotics.com/emea/en/pepper,0,2,0,11,Physical,Legged,Biped,Companionship,Service,"[4, 14]","['Legged', 'Biped']"
80,SoftBank Robotics Nao,2008.0,FR,France,https://www.softbankrobotics.com/emea/en/nao,0,2,0,11,Physical,Legged,Biped,Companionship,Service,"[4, 14]","['Legged', 'Biped']"
81,Knightscope K5,2013.0,US,United States,https://www.knightscope.com/k5,0,1,0,7,Physical,Mobile Ground,Wheeled,Maintenance/Service,Service,"[6, 7]","['Mobile Ground', 'Wheeled']"
82,Starship Technologies Delivery Robot,2014.0,US,United States,https://www.starship.xyz/,0,4,0,7,Physical,Aquatic,ROV,Maintenance/Service,Service,"[15, 16]","['Aquatic', 'ROV']"
83,Moxi (Diligent Robotics),2018.0,US,United States,https://www.diligentrobots.com/moxi,0,1,0,7,Physical,Mobile Ground,Wheeled,Maintenance/Service,Service,"[6, 7]","['Mobile Ground', 'Wheeled']"
84,Sanbot Elf,2016.0,CN,China,https://www.qihan.cn/en/products/sanbot-elf/,0,2,0,7,Physical,Legged,Biped,Maintenance/Service,Service,"[4, 14]","['Legged', 'Biped']"
85,UBTECH Walker,2018.0,CN,China,https://www.ubtrobot.com/pages/walker,0,2,0,7,Physical,Legged,Biped,Maintenance/Service,Service,"[4, 14]","['Legged', 'Biped']"
86,Temi,2016.0,IL,Israel,https://www.robotemi.com/,0,2,2,11,Physical,Legged,Hexapod,Companionship,Service,"[4, 17]","['Legged', 'Hexapod']"
87,Robotics REEM-C,2010.0,ES,Spain,https://pal-robotics.com/robots/reem-c/,0,2,0,7,Physical,Legged,Biped,Maintenance/Service,Service,"[4, 14]","['Legged', 'Biped']"
88,Intuitive Surgical da Vinci,1999.0,US,United States,https://www.intuitive.com/en-us/products-and-services/da-vinci,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
89,Stryker Mako,2006.0,US,United States,https://www.stryker.com/us/en/p/mako-smartrobotics.html,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
90,Medtronic Mazor X,2016.0,US,United States,https://www.medtronic.com/us-en/healthcare-professionals/products/neurological/mazor-x-stealth-edition.html,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
91,Accuray CyberKnife,2001.0,US,United States,https://www.accuray.com/solutions/cyberknife-system,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
92,Zimmer Biomet ROSA,2019.0,US,United States,https://www.zimmerbiomet.com/en/products-and-solutions/robotics/rosa-knee-system.html,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
93,Omnicell XT,,US,United States,https://www.omnicell.com/products/medication-management/automated-dispensing-systems/omnicell-xt-automated-dispensing-cabinets,0,1,4,8,Physical,Mobile Ground,Holonomic Platform,Surgery/Medical,Medical,"[6, 18]","['Mobile Ground', 'Holonomic Platform']"
94,Aethon TUG,2004.0,US,United States,https://aethon.com/hospital-robots-healthcare/,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
95,PARO,2004.0,JP,Japan,https://www.parorobots.com/,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
96,Corindus CorPath GRX,2012.0,US,United States,https://www.siemens-healthineers.com/interventional-radiology/corindus-corpath-grx,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
97,Asensus Surgical Senhance,2017.0,US,United States,https://www.asensus.com/senhance-surgical-system/,0,0,0,8,Physical,Manipulator,Fixed-Base,Surgery/Medical,Medical,"[0, 1]","['Manipulator', 'Fixed-Base']"
98,Boston Dynamics Atlas,2013.0,US,United States,https://www.bostondynamics.com/atlas,0,2,0,16,Physical,Legged,Biped,Research,Research,"[4, 14]","['Legged', 'Biped']"
99,Boston Dynamics Spot,2016.0,US,United States,https://www.bostondynamics.com/spot,0,2,1,16,Physical,Legged,Quadruped,Research,Research,"[4, 5]","['Legged', 'Quadruped']"
100,SoftBank Robotics Romeo,2009.0,FR,France,https://www.softbankrobotics.com/emea/en/romeo,0,2,0,16,Physical,Legged,Biped,Research,Research,"[4, 14]","['Legged', 'Biped']"
101,PAL Robotics TALOS,2017.0,ES,Spain,https://pal-robotics.com/robots/talos/,0,2,0,16,Physical,Legged,Biped,Research,Research,"[4, 14]","['Legged', 'Biped']"
102,Clearpath Robotics Jackal,2014.0,CA,Canada,https://clearpathrobotics.com/jackal/,0,4,0,16,Physical,Aquatic,ROV,Research,Research,"[15, 16]","['Aquatic', 'ROV']"
103,Clearpath Robotics Husky,2010.0,CA,Canada,https://clearpathrobotics.com/husky/,0,4,0,16,Physical,Aquatic,ROV,Research,Research,"[15, 16]","['Aquatic', 'ROV']"
104,Frankenstein (MIT),1968.0,US,United States,https://en.wikipedia.org/wiki/Shakey_the_Robot,0,4,0,16,Physical,Aquatic,ROV,Research,Research,"[15, 16]","['Aquatic', 'ROV']"
105,Shakey the Robot (SRI),1966.0,US,United States,https://en.wikipedia.org/wiki/Shakey_the_Robot,0,4,0,16,Physical,Aquatic,ROV,Research,Research,"[15, 16]","['Aquatic', 'ROV']"
106,ASIMO (Honda),2000.0,JP,Japan,https://asimo.honda.com/,0,2,0,16,Physical,Legged,Biped,Research,Research,"[4, 14]","['Legged', 'Biped']"
107,RoboCup Soccer Robots,1997.0,IN,India,https://www.robocup.org/,0,4,0,16,Physical,Aquatic,ROV,Research,Research,"[15, 16]","['Aquatic', 'ROV']"
108,Mars Pathfinder (Sojourner),1997.0,US,United States,https://mars.nasa.gov/programmissions/missions/past/pathfinder/,0,4,0,4,Physical,Aquatic,ROV,Exploration,Space Exploration,"[15, 16]","['Aquatic', 'ROV']"
109,Mars Exploration Rovers (Spirit and Opportunity),2004.0,US,United States,https://mars.nasa.gov/mer/,0,4,0,4,Physical,Aquatic,ROV,Exploration,Space Exploration,"[15, 16]","['Aquatic', 'ROV']"
110,Mars Science Laboratory (Curiosity),2012.0,US,United States,https://mars.nasa.gov/msl/,0,4,0,4,Physical,Aquatic,ROV,Exploration,Space Exploration,"[15, 16]","['Aquatic', 'ROV']"
111,Mars 2020 (Perseverance),2021.0,US,United States,https://mars.nasa.gov/mars2020/,0,4,0,4,Physical,Aquatic,ROV,Exploration,Space Exploration,"[15, 16]","['Aquatic', 'ROV']"
112,Ingenuity (Mars Helicopter),2021.0,US,United States,https://mars.nasa.gov/technology/helicopter/,0,3,0,4,Physical,Aerial,Multirotor,Exploration,Space Exploration,"[11, 12]","['Aerial', 'Multirotor']"
113,Voyager 1,1977.0,US,United States,https://voyager.jpl.nasa.gov/,0,-1,-1,4,Physical,Unknown,Unknown,Exploration,Space Exploration,[],[]
114,Voyager 2,1977.0,US,United States,https://voyager.jpl.nasa.gov/,0,-1,-1,4,Physical,Unknown,Unknown,Exploration,Space Exploration,[],[]
115,Cassini-Huygens,1997.0,US,United States,https://solarsystem.nasa.gov/missions/cassini-huygens/in-depth/,0,-1,-1,4,Physical,Unknown,Unknown,Exploration,Space Exploration,[],[]
116,Hubble Space Telescope,1990.0,US,United States,https://www.nasa.gov/mission_pages/hubble/main/index.html,0,-1,-1,4,Physical,Unknown,Unknown,Exploration,Space Exploration,[],[]
117,International Space Station (ISS) Robotic Arm (Canadarm2),2001.0,CA,Canada,https://www.asc-csa.gc.ca/eng/iss/canadarm2/default.asp,0,1,0,7,Physical,Mobile Ground,Wheeled,Maintenance/Service,Space Exploration,"[6, 7]","['Mobile Ground', 'Wheeled']"
